0	0
0.0001	1.1122
0.0004	2.1673
0.0014	2.4599
0.0019	1.4582
0.0023	0.1873
0.003	-0.9109
0.004	-1.9975
0.006	-2.5833
0.0076	-1.4968
0.0082	-0.3997
0.0087	0.7162
0.0093	1.7509
0.0098	2.765
0.0105	3.7734
0.0119	4.8214
0.0161	5.6302
0.0215	4.4494
0.0242	3.4381
0.0286	2.3416
0.0362	1.754
0.0436	2.6557
0.0504	3.5447
0.0565	3.6254
0.0621	3.3553
0.0673	3.7577
0.0724	4.3474
0.0759	5.361
0.0795	6.3835
0.0836	7.3884
0.0889	8.0281
0.0943	7.6477
0.0997	7.2656
0.1051	7.8503
0.1103	8.8654
0.1154	9.1729
0.1203	8.9404
0.1253	8.4531
0.1304	8.4028
0.1355	9.2534
0.1386	10.3103
0.1421	11.3836
0.147	12.347
0.152	12.5613
0.157	12.2987
0.1622	11.7009
0.1674	11.3544
0.1723	12.1902
0.1762	13.2921
0.1805	14.3279
0.1855	14.2166
0.1905	13.2801
0.1956	13.2347
0.1996	14.3386
0.2016	15.378
0.2046	16.5518
0.2091	17.68
0.2141	17.4413
0.2182	16.4404
0.2233	15.4399
0.2284	15.7155
0.2328	16.8036
0.2368	17.8942
0.2417	18.7599
0.2466	18.7228
0.2516	18.41
0.2566	18.9803
0.2618	20.1212
0.267	21.1619
0.2721	21.6254
0.277	21.3137
0.2818	20.6835
0.2865	20.2481
0.2913	20.7483
0.2953	21.781
0.2994	22.7902
0.3045	23.7565
0.3093	24.2685
0.3142	24.4565
0.3191	24.4516
0.3243	24.6799
0.3295	25.1799
0.3345	25.5092
0.3393	25.5204
0.3439	25.2984
0.3487	25.5208
0.3537	26.561
0.3573	27.6608
0.3615	28.7664
0.3668	29.4963
0.372	29.3446
0.3771	28.7253
0.3821	28.547
0.387	29.1064
0.3919	30.0673
0.3969	30.9482
0.4019	31.1889
0.4069	31.0672
0.4118	31.0699
0.4168	32.0409
0.4204	33.1793
0.424	34.2546
0.4293	34.8474
0.4345	34.0889
0.4391	33.0005
0.4439	32.6406
0.448	33.6986
0.4513	34.8808
0.4542	35.9089
0.4593	36.523
0.4644	36.5785
0.4696	36.6476
0.4745	37.0924
0.4793	37.6846
0.4842	38.6442
0.4894	39.4565
0.4946	39.1686
0.4997	38.394
0.5046	37.9889
0.5094	38.7967
0.5122	39.8659
0.5147	40.9307
0.5171	41.9668
0.5217	42.9897
0.5269	42.9095
0.5322	42.308
0.5374	41.9806
0.5425	42.1587
0.5475	42.7657
0.5523	43.8425
0.5572	44.8395
0.5622	44.7666
0.5673	44.4211
0.5723	44.6502
0.5767	45.7089
0.5801	46.8975
0.5834	48.0112
0.5884	48.6441
0.5935	48.1771
0.5987	47.5001
0.6038	47.4087
0.6087	47.7559
0.6133	48.5559
0.6175	49.5751
0.6224	50.3794
0.6275	50.4819
0.6327	50.6315
0.6377	51.5925
0.6407	52.646
0.6457	53.6718
0.6507	53.4381
0.6553	52.4227
0.6604	52.0306
0.6654	52.6689
0.6698	53.7622
0.6747	54.7697
0.6797	55.4435
0.6847	56.0236
0.6897	56.4912
0.6948	57.1148
0.6999	57.7366
0.7051	58.1306
0.7102	58.1505
0.7152	57.7522
0.72	57.4543
0.7249	57.8749
0.7289	58.8838
0.7319	59.9163
0.7354	60.9355
0.7404	61.7163
0.7453	61.9132
0.7502	62.0136
0.7553	62.0926
0.7604	62.2626
0.7656	62.5938
0.7706	63.1196
0.7755	63.6707
0.7803	63.9312
0.7852	64.4669
0.7903	65.4505
0.7955	66.472
0.8006	67.1187
0.8057	66.9773
0.8107	66.6343
0.8158	66.8205
0.8208	67.7271
0.8258	68.5348
0.8307	69.0514
0.8355	69.3444
0.8405	69.4209
0.8454	69.851
0.8504	70.7762
0.8545	71.9128
